
 ,30 39, 
 , ,91 111 111 91 91 114 114 91 91 117 117 91 91 102 102 91 91 45 45 91 91 47 47 91 88 91 91 126 126 91 111 111 111 111 111 114 114 111 111 117 117 111 111 102 102 111 111 45 45 111 111 47 47 111 88 111 111 126 126 111 114 111 111 114 114 114 114 114 114 117 117 114 114 102 102 114 114 45 45 114 114 47 47 114 88 114 114 126 126 114 117 111 111 117 117 114 114 117 117 117 117 117 117 102 102 117 117 45 45 117 117 47 47 117 88 117 117 126 126 117 102 111 111 102 102 114 114 102 102 117 117 102 102 102 102 102 102 45 45 102 102 47 47 102 88 102 102 126 126 102 45 111 111 45 45 114 114 45 45 117 117 45 45 102 102 45 45 45 45 45 45 47 47 45 88 45 45 126 126 45 47 111 111 47 47 114 114 47 47 117 117 47 47 102 102 47 47 45 45 47 47 47 47 47 88 47 47 126 126 47 88 111 88 114 88 117 88 102 88 45 88 47 88 88 88 88 88 126 126 88
 , ,4 1






 , ,72 30 30 72 72 57 57 72 72 41 41 72 72 67 67 72 30 30 30 30 30 57 57 30 30 41 41 30 30 67 67 30 57 30 30 57 57 57 57 57 57 41 41 57 57 67 67 57 41 30 30 41 41 57 57 41 41 41 41 41 41 67 67 41
16 28 28 16 16 4 4 16 28 28 28 28 28 4 4 28, , 





 ,48 63 63 48 48 78 78 48 48 18 18 48 63 63 63 63 63 78 78 63 63 18 18 63 78 63 63 78 78 78 78 78 78 18 18 78, 

 ,44 11 44 13 44 15 11 11 11 11 11 13 13 11 11 15 15 11 13 11 11 13 13 13 13 13 13 15 15 13, 












 ,40 15 15 40, 


 ,40 8 8 40 40 56 56 40 8 8 8 8 8 56 56 8, 

 ,56 20 20 56, 






 ,81 83 83 81 81 109 109 81 81 114 114 81 81 134 134 81 81 94 94 81 83 83 83 83 83 109 109 83 83 114 114 83 83 134 134 83 83 94 94 83 109 83 83 109 109 109 109 109 109 114 114 109 109 134 134 109 94 109 114 83 83 114 114 109 109 114 114 114 114 114 114 134 134 114 114 94 94 114 134 83 83 134 134 109 109 134 134 114 114 134 134 134 134 134 134 94 94 134,14 49 49 14 14 137 137 14 49 49 49 49 49 137 137 49





 ,30 28 28 38 38 28 30 30 30 30 30 38 38 30, 







37 27 27 37, , 
32 46 46 32, , 



 ,60 83 83 60,72 21 21 72 72 91 91 72 21 21 21 21 21 91 91 21

 ,37 5 5 37, 


 ,42 45 45 42 42 11 11 42 42 50 50 42 42 62 62 42 45 45 45 45 45 11 11 45 45 50 50 45 45 62 62 45 11 45 45 11 11 11 11 11 11 50 50 11 11 62 62 11 50 45 45 50 50 11 11 50 50 50 50 50 50 62 62 50, 










87 52 52 87,9 11 11 9 9 91 91 9 11 11 11 11 11 91 91 11,68 25 25 68 68 78 78 68 68 46 46 68 68 41 41 68 25 25 25 25 25 78 78 25 25 46 46 25 25 41 41 25 78 25 25 78 78 78 78 78 78 46 46 78 78 41 41 78 46 25 25 46 46 78 78 46 46 46 46 46 46 41 41 46
 , ,34 37 37 34 34 13 13 34 34 50 50 34 34 25 25 34 37 37 37 37 37 13 13 37 37 50 50 37 37 25 25 37 13 37 37 13 13 13 13 13 13 50 50 13 13 25 25 13 50 37 37 50 50 13 13 50 50 50 50 50 50 25 25 50















 ,20 6 6 20 20 29 29 20 6 6 6 6 6 29 29 6, 

 ,20 3 3 20 20 31 31 20 20 36 36 20 3 3 3 3 3 31 31 3 3 36 36 3 31 3 3 31 31 31 31 31 31 36 36 31, 

 ,38 20 20 38, 





21 27 27 21, , 








 ,76 98 98 76,93 111 111 93 93 50 50 93 111 111 111 111 111 50 50 111
 , ,21 6 21 33 33 21 6 6 6 6 6 33 33 6





 , ,39 51 51 39 39 17 17 39 51 51 51 51 51 17




 , ,27 9 9 27 27 12 12 27 27 14 14 27 9 9 9 9 9 12 9 14 9 12 12 12 12 12 12 14 14 12





 , ,24 51 51 24 24 48 48 24 24 26 26 24 51 51 51 51 48 51 51 26 26 51 48 51 48 48 48 48 48 26 26 48










 , ,15 68 68 15 15 71 71 15 15 74 74 15 15 80 80 15 15 60 60 15 68 68 68 68 68 71 71 68 68 74 74 68 68 80 80 68 60 68 71 68 68 71 71 71 71 71 71 74 74 71 71 80 80 71 60 71 74 68 68 74 74 71 71 74 74 74 74 74 74 80 80 74 74 60 60 74 80 68 68 80 80 71 71 80 80 74 74 80 80 80 80 80 80 60 60 80



 , ,44 56 56 44 44 61 61 44 44 28 28 44 56 56 56 56 61 56 56 28 28 56 61 56 61 61 61 61 61 28 28 61


 ,59 81 81 59,47 54 47 62 62 47 47 87 87 47 47 85 85 47 54 54 54 54 54 62 62 54 54 87 87 54 54 85 85 54 62 54 54 62 62 62 62 62 62 87 87 62 62 85 85 62 87 54 54 87 87 62 62 87 87 87 87 87 87 85 85 87


 ,54 27 27 54,1 41 41 1 1 45 45 1 1 21 21 1 41 41 41 41 41 45 45 41 41 21 21 41 45 41 41 45 45 45 45 45 45 21 21 45
 , ,1 26 26 1 1 39 39 1 1 42 42 1 26 26 26 26 26 39 39 26 26 42 42 26 39 26 26 39 39 39 39 39 42 39

 , ,5 31 31 5 5 12 12 5 31 31 31 31 31 12 12 31





 ,39 46 46 39 39 9 9 39 39 58 58 39 39 25 25 39 46 46 46 46 46 9 9 46 46 58 58 46 46 25 25 46 9 46 46 9 9 9 9 9 9 58 58 9 9 25 25 9 58 46 46 58 58 9 9 58 58 58 58 58 58 25 25 58,51 20 20 51 51 36 36 51 20 20 20 20 20 36 36 20


 ,58 11 11 58 58 13 13 58 11 11 11 11 11 13 13 11,54 75 75 54 54 17 17 54 54 77 77 54 54 85 85 54 54 46 46 54 75 75 75 75 75 17 17 75 77 75 75 85 85 75 75 46 46 75 17 75 75 17 17 17 17 17 17 77 77 17 17 85 85 17 17 46 46 17 77 75 77 17 17 77 77 77 77 77 77 85 85 77 77 46 46 77 85 75 75 85 85 17 17 85 85 77 77 85 85 85 85 85 85 46 46 85











24 40 40 24,21 4 4 21,30 11 11 30



 ,20 5 5 20, 








 ,30 37 37 30 30 44 44 30 30 51 51 30 30 18 18 30 30 25 25 30 37 37 37 37 37 44 44 37 37 51 51 37 37 18 18 37 37 25 25 37 44 37 37 44 44 44 44 44 44 51 51 44 44 18 18 44 44 25 25 44 51 37 37 51 51 44 44 51 51 51 51 51 51 18 18 51 51 25 25 51 18 37 37 18 18 44 44 18 18 51 51 18 18 18 18 18 18 25 25 18, 






 ,21 23, 
 ,85 90 90 85,0 2 2 0 0 15 15 0 2 2 2 2 2 15 15 2


 ,35 44 44 35 35 63 63 35 44 44 44 44 63 44,8 20 20 8





 ,29 5, 






 , ,11 49 49 11 11 45 49 49 49 49 49 45 45 49


















 ,27 40 40 27 27 16 16 27 40 40 40 40 40 16 16 40, 
 ,25 4 4 25 25 10 10 25 4 4 4 4 10 4, 


40 50 50 40, ,10 3




 ,11 24 24 11 11 35 35 11 11 40 40 11 11 61 61 11 11 66 66 11 11 76 76 11 11 81 81 11 24 24 24 24 24 35 35 24 24 40 40 24 24 61 61 24 24 66 66 24 24 76 76 24 24 81 81 24 35 24 24 35 35 35 35 35 35 40 40 35 35 61 61 35 35 66 66 35 35 76 76 35 35 81 81 35 40 24 24 40 40 35 35 40 40 40 40 40 40 61 61 40 40 66 66 40 40 76 76 40 40 81 81 40 61 24 24 61 61 35 35 61 61 40 40 61 61 61 61 61 61 66 66 61 61 76 76 61 61 81 81 61 66 24 24 66 66 35 35 66 66 40 40 66 66 61 61 66 66 66 66 66 66 76 76 66 66 81 81 66 76 24 24 76 76 35 35 76 76 40 40 76 76 61 61 76 76 66 66 76 76 76 76 76 76 81 81 76,108 113 113 108 108 8 8 108 108 59 59 108 108 74 74 108 113 113 113 113 113 8 8 113 113 59 59 113 113 74 74 113 8 113 113 8 8 8 8 8 8 59 59 8 8 74 74 8 59 113 113 59 59 8 8 59 59 59 59 59 59 74 74 59


 , ,5 53 53 5 5 11 11 5 5 13 13 5 5 68 68 5 5 19 19 5 5 71 71 5 5 25 25 5 5 75 75 5 5 31 31 5 5 79 79 5 5 37 37 5 5 83 83 5 53 53 53 53 53 11 11 53 53 13 13 53 53 68 68 53 53 19 19 53 53 71 71 53 53 25 25 53 53 75 75 53 53 31 31 53 53 79 79 53 53 37 37 53 53 83 83 53 11 53 53 11 11 11 11 11 11 13 13 11 11 68 68 11 11 19 19 11 11 71 71 11 11 25 25 11 11 75 75 11 11 31 31 11 11 79 79 11 11 37 37 11 11 83 83 11 13 53 53 13 13 11 11 13 13 13 13 13 13 68 68 13 13 19 19 13 13 71 71 13 13 25 25 13 13 75 75 13 13 31 31 13 13 79 79 13 13 37 37 13 13 83 83 13 68 53 53 68 68 11 11 68 68 13 13 68 68 68 68 68 68 19 19 68 68 71 71 68 68 25 25 68 68 75 75 68 68 31 31 68 68 79 79 68 68 37 37 68 68 83 83 68 19 53 53 19 19 11 11 19 19 13 13 19 19 68 68 19 19 19 19 19 19 71 71 19 19 25 25 19 19 75 75 19 19 31 31 19 19 79 79 19 19 37 37 19 19 83 83 19 71 53 53 71 71 11 11 71 71 13 13 71 71 68 68 71 71 19 19 71 71 71 71 71 71 25 25 71 71 75 75 71 71 31 31 71 71 79 79 71 71 37 37 71 71 83 83 71 25 53 53 25 25 11 11 25 25 13 13 25 25 68 68 25 25 19 19 25 25 71 71 25 25 25 25 25 25 75 75 25 25 31 31 25 25 79 79 25 25 37 37 25 25 83 83 25 75 53 53 75 75 11 11 75 75 13 13 75 75 68 68 75 75 19 19 75 75 71 71 75 75 25 25 75 75 75 75 75 75 31 31 75 75 79 79 75 75 37 37 75 75 83 83 75 31 53 53 31 31 11 11 31 31 13 13 31 31 68 68 31 31 19 19 31 31 71 71 31 31 25 25 31 31 75 75 31 31 31 31 31 31 79 79 31 31 37 37 31 31 83 83 31 79 53 53 79 79 11 11 79 79 13 13 79 79 68 68 79 79 19 19 79 79 71 71 79 79 25 25 79 79 75 75 79 79 31 31 79 79 79 79 79 79 37 37 79 79 83 83 79 37 53 53 37 37 11 11 37 37 13 13 37 37 68 68 37 37 19 19 37 37 71 71 37 37 25 25 37 37 75 75 37 37 31 31 37 37 79 79 37 37 37 37 37 37 83 83 37



 ,125 142 142 125 125 143 143 125 125 144 144 125 142 142 142 142 142 143 143 142 142 144 144 142 143 142 142 143 143 143 143 143 143 144, 









 , ,11 54 60 11 54 54 54 54 60 54

 , ,9 11 11 9 9 14 14 9 9 17 17 9 6 9 9 72 72 9 9 88 88 9 9 78 78 9 11 11 11 11 11 14 14 11 11 17 17 11 6 11 11 72 72 11 11 88 88 11 11 78 78 11 14 11 11 14 14 14 14 14 14 17 17 14 6 14 14 72 72 14 14 88 88 14 14 78 78 14 17 11 11 17 17 14 14 17 17 17 17 17 6 17 17 72 72 17 17 88 88 17 17 78 78 17 6 11 6 14 6 17 6 6 6 6 6 72 72 6 6 88 88 6 6 78 78 6 72 11 11 72 72 14 14 72 72 17 17 72 72 6 6 72 72 72 72 72 72 88 88 72 72 78 78 72 88 11 11 88 88 14 14 88 88 17 17 88 88 6 6 88 88 72 72 88 88 88 88 88 88 78 78 88

 ,74 62 62 74 74 91 91 74 62 62 62 62 62 91 91 62,69 81 81 69 69 101 101 69 69 106 106 69 69 62 62 69 69 91 91 69 81 81 81 81 81 101 101 81 81 106 106 81 81 62 62 81 81 91 91 81 101 81 81 101 101 101 101 101 106 101 101 62 62 101 101 91 91 101 106 81 81 106 106 101 106 106 106 106 106 62 62 106 106 91 91 106 62 81 81 62 62 101 101 62 62 106 106 62 62 62 62 62 62 91 91 62












 ,81 94 81 99 99 81 81 112 112 81 81 90 90 81 94 94 94 94 94 99 99 94 94 112 112 94 94 90 90 94 99 94 94 99 99 99 99 99 99 112 112 99 99 90 90 99 112 94 94 112 112 99 99 112 112 112 112 112 112 90 90 112, 
 ,5 72 72 5 5 83 83 5 5 27 27 5 5 86 86 5 5 99 99 5 5 32 32 5 5 34 34 5 5 36 36 5 5 38 38 5 5 100 100 5 5 76 76 5 72 72 72 72 72 83 83 72 72 27 27 72 72 86 86 72 72 99 99 72 72 32 32 72 72 34 34 72 72 36 36 72 72 38 38 72 72 100 100 72 72 76 76 72 83 72 72 83 83 83 83 83 83 27 27 83 83 86 86 83 83 99 99 83 83 32 32 83 83 34 34 83 83 36 36 83 83 38 38 83 83 100 100 83 83 76 76 83 27 72 72 27 27 83 83 27 27 27 27 27 27 86 86 27 27 99 99 27 27 32 32 27 27 34 34 27 27 36 36 27 27 38 38 27 27 100 100 27 27 76 76 27 86 72 72 86 86 83 83 86 86 27 27 86 86 86 86 86 86 99 99 86 86 32 86 34 86 36 86 38 86 100 100 86 86 76 76 86 99 72 72 99 99 83 83 99 99 27 27 99 99 86 86 99 99 99 99 99 99 32 32 99 99 34 34 99 99 36 36 99 99 38 38 99 99 100 99 76 32 72 72 32 32 83 83 32 32 27 27 32 86 32 32 99 99 32 32 32 32 32 32 34 34 32 32 36 36 32 32 38 38 32 32 100 100 32 32 76 76 32 34 72 72 34 34 83 83 34 34 27 27 34 86 34 34 99 99 34 34 32 32 34 34 34 34 34 34 36 36 34 34 38 38 34 34 100 100 34 34 76 76 34 36 72 72 36 36 83 83 36 36 27 27 36 86 36 36 99 99 36 36 32 32 36 36 34 34 36 36 36 36 36 36 38 38 36 36 100 100 36 36 76 76 36 38 72 72 38 38 83 83 38 38 27 27 38 86 38 38 99 99 38 38 32 32 38 38 34 34 38 38 36 36 38 38 38 38 38 38 100 100 38 38 76 76 38 100 72 72 100 100 83 83 100 100 27 27 100 100 86 86 100 99 100 100 32 32 100 100 34 34 100 100 36 36 100 100 38 38 100 100 100 100 100 100 76 76 100, 
 ,39 52 52 39 39 13 13 39 39 19 19 39 39 29 29 39 52 52 52 52 52 13 13 52 52 19 19 52 52 29 29 52 13 52 52 13 13 13 13 13 13 19 19 13 13 29 29 13 19 52 52 19 19 13 13 19 19 19 19 19 19 29 29 19,21 34 34 21




 ,14 25 25 14 14 3 3 14 25 25 25 25 25 3 3 25, 
 , ,2 4 4 2 2 39 39 2 2 19 19 2 2 39 39 2 4 4 4 4 4 39 39 4 4 19 19 4 4 39 39 4 39 4 4 39 39 39 39 39 39 19 19 39 39 39 39 39 19 4 4 19 19 39 39 19 19 19 19 19 19 39 39 19













 ,66 23 23 66 66 83 83 66 66 46 46 66 66 55 55 66 23 23 23 23 23 83 83 23 23 46 46 23 23 55 55 23 83 23 23 83 83 83 83 83 83 46 46 83 83 55 55 83 46 23 23 46 46 83 83 46 46 46 46 46 46 55 55 46, 





























 ,21 8 8 21, 




 ,38 31 31 38 35 38 31 31 31 31 31 35 35 31, 




 ,8 6, 
 ,22 7 7 22, 

55 47 47 55, ,82 32 32 82 82 75 75 82 82 60 60 82 32 32 32 32 32 75 32 60 60 32 32 75 75 75 75 75 75 60 60 75






 ,62 25 25 62, 
89 91 91 89 89 95 95 89 83 89 91 91 91 91 91 95 95 91 83 91 95 91 91 95 95 95 95 95 83 95, , 
 ,35 49 49 35 55 35 49 49 49 49 49 55 55 49, 




 ,50 39 15 39 50 50 50 50 50 15 15 50, 





















56 98 98 56,85 73 73 85,38 40 40 38
 ,91 42 42 91 91 98 98 91 42 42 42 42 42 98 98 42, 


 ,64 79 79 64 64 89 89 64 64 41 41 64 79 79 79 79 79 89 89 79 79 41 41 79 89 79 79 89 89 89 89 89 89 41 41 89, 
 ,72 32 32 72, 



 ,68 40, 




















 , ,36 39 39 36
 ,72 18 18 72 72 92 92 72 72 90 90 72 72 100 100 72 72 30 30 72 18 18 18 18 18 92 92 18 18 90 90 18 18 100 100 18 18 30 30 18 92 18 18 92 92 92 92 92 92 90 90 92 92 100 100 92 92 30 30 92 90 18 18 90 90 92 92 90 90 90 90 90 90 100 100 90 90 30 30 90 100 18 18 100 100 92 92 100 100 90 90 100 100 100 100 100 100 30 30 100, 







 ,91 127 127 91 91 137 137 91 127 127 127 127 137 127, 


 ,47 46, 
























 , ,21 20

 ,27 41 41 27 27 50 50 27 41 41 41 41 50 41, 

 , ,66 75 75 66 66 60 60 66 75 75 75 75 60 75

 , ,4 32 32 4 4 40 40 4 4 26 26 4 4 44 44 4 32 32 32 32 32 40 32 26 32 44 32 40 40 40 40 40 40 26 26 40 40 44 44 40 32 26 26 40 40 26 26 26 26 26 26 44 44 26













 ,34 49 49 34, 

52 50 50 52, ,34 36 36 34 34 59 59 34 34 61 61 34 34 69 69 34 34 22 22 34 34 24 24 34 36 36 36 36 36 59 59 36 36 61 61 36 36 69 69 36 36 22 22 36 36 24 24 36 59 36 36 59 59 59 59 59 59 61 59 69 59 22 59 24 61 36 36 61 59 61 61 61 61 61 61 69 69 61 61 22 22 61 61 24 24 61 69 36 36 69 59 69 69 61 61 69 69 69 69 69 69 22 22 69 69 24 24 69 22 36 36 22 59 22 22 61 61 22 22 69 69 22 22 22 22 22 22 24 24 22










73 80 80 73 73 22 22 73 80 80 80 80 80 22 22 80, , 


 ,101 22 22 101 101 121 121 101 101 120 120 101 101 136 136 101 101 154 154 101 22 22 22 22 22 121 121 22 22 120 120 22 22 136 136 22 22 154 154 22 121 22 22 121 121 121 121 121 121 120 121 136 136 121 121 154 154 121 120 22 22 120 121 120 120 120 120 120 120 136 136 120 120 154 154 120 136 22 22 136 136 121 121 136 136 120 120 136 136 136 136 136 136 154 154 136, 





 ,86 47 47 86,64 117 117 64 64 5 117 117 117 117 117 5 5 117

 ,20 7 7 20, 






















 ,57 67 67 57 57 43 67 67 67 67 67 43 43 67, 


 ,161 166 166 161 161 44 44 161 161 135 135 161 166 166 166 166 166 44 44 166 166 135 135 166 44 166 166 44 44 44 44 44 135 44,170 121 121 170


 ,41 37, 
51 43 43 44 44 43 51 51 51 51 51 44 44 51, , 



39 29, , 

 ,64 11 11 64 64 86 86 64 11 11 11 11 11 86 86 11, 












 ,62 58 58 62,39 44 39 64 64 39 39 68 68 39 44 44 44 44 44 64 64 44 44 68 68 44 64 44 44 64 64 64 64 64 64 68 68 64




 ,168 183 183 168 168 193 193 168 168 198 198 168 168 276 276 168 168 124 124 168 168 230 230 168 168 235 235 168 168 177 177 168 168 172 172 168 168 267 267 168 168 134 134 168 168 289 289 168 183 183 183 183 183 193 193 183 183 198 198 183 183 276 276 183 183 124 124 183 183 230 230 183 183 235 235 183 183 177 177 183 183 172 172 183 183 267 267 183 183 134 134 183 183 289 289 183 193 183 183 193 193 193 193 193 193 198 193 276 276 193 193 124 124 193 193 230 230 193 193 235 235 193 193 177 177 193 193 172 172 193 193 267 267 193 193 134 134 193 193 289 289 193 198 183 183 198 193 198 198 198 198 198 198 276 276 198 198 124 124 198 198 230 230 198 198 235 235 198 198 177 177 198 198 172 172 198 198 267 267 198 198 134 134 198 198 289 289 198 276 183 183 276 276 193 193 276 276 198 198 276 276 276 276 276 276 124 124 276 276 230 230 276 276 235 235 276 276 177 177 276 276 172 172 276 276 267 276 134 134 276 276 289 289 276 124 183 183 124 124 193 193 124 124 198 198 124 124 276 276 124 124 124 124 124 124 230 230 124 124 235 235 124 124 177 177 124 124 172 172 124 124 267 267 124 124 134 134 124 124 289 289 124 230 183 183 230 230 193 193 230 230 198 198 230 230 276 276 230 230 124 124 230 230 230 230 230 235 230 230 177 177 230 230 172 172 230 230 267 267 230 230 134 134 230 230 289 289 230 235 183 183 235 235 193 193 235 235 198 198 235 235 276 276 235 235 124 124 235 235 230 235 235 235 235 235 177 177 235 235 172 172 235 235 267 267 235 235 134 134 235 235 289 289 235 177 183 183 177 177 193 193 177 177 198 198 177 177 276 276 177 177 124 124 177 177 230 230 177 177 235 235 177 177 177 177 177 172 177 177 267 267 177 177 134 134 177 177 289 289 177 172 183 183 172 172 193 193 172 172 198 198 172 172 276 276 172 172 124 124 172 172 230 230 172 172 235 235 172 172 177 172 172 172 172 172 267 267 172 172 134 134 172 172 289 289 172 267 183 183 267 267 193 193 267 267 198 198 267 276 267 267 124 124 267 267 230 230 267 267 235 235 267 267 177 177 267 267 172 172 267 267 267 267 267 267 134 134 267 267 289 289 267 134 183 183 134 134 193 193 134 134 198 198 134 134 276 276 134 134 124 124 134 134 230 230 134 134 235 235 134 134 177 177 134 134 172 172 134 134 267 267 134 134 134 134 134 289 134, 






43 68 68 43,17 20 20 17, 


 ,42 58 58 42 42 72 72 42 58 58 58 58 58 72 72 58,31 17 17 31












 ,44 11 11 44, 


59 45, , 





 ,52 26 26 52,50 9
24 8 8 24 24 31 31 24 8 8 8 8 8 31 31 8, , 











 ,19 10 10 19, 












 ,60 55,10 68 10 81 10 85 10 32 10 34 10 37 37 10 10 40 40 10 10 42 42 10 10 44 44 10 10 46 46 10 10 48 48 10 10 104 104 10 68 68 68 68 68 81 81 68 68 85 85 68 68 32 32 68 68 34 34 68 68 37 37 68 68 40 40 68 68 42 42 68 68 44 44 68 68 46 46 68 68 48 48 68 68 104 104 68 81 68 68 81 81 81 81 81 81 85 85 81 81 32 32 81 81 34 34 81 81 37 37 81 81 40 40 81 81 42 42 81 81 44 44 81 81 46 46 81 81 48 48 81 81 104 104 81 85 68 68 85 85 81 81 85 85 85 85 85 85 32 32 85 85 34 34 85 85 37 37 85 85 40 40 85 85 42 42 85 85 44 44 85 85 46 46 85 85 48 48 85 85 104 104 85 32 68 68 32 32 81 81 32 32 85 85 32 32 32 32 32 32 34 34 32 32 37 37 32 32 40 40 32 32 42 42 32 32 44 44 32 32 46 46 32 32 48 48 32 32 104 104 32 34 68 68 34 34 81 81 34 34 85 85 34 34 32 32 34 34 34 34 34 34 37 37 34 34 40 40 34 34 42 42 34 34 44 44 34 34 46 46 34 34 48 48 34 34 104 104 34 37 68 68 37 37 81 81 37 37 85 85 37 37 32 32 37 37 34 34 37 37 37 37 37 37 40 37 42 37 44 37 46 37 48 37 104 40 68 68 40 40 81 81 40 40 85 85 40 40 32 32 40 40 34 34 40 37 40 40 40 40 40 40 42 42 40 40 44 44 40 40 46 46 40 40 48 48 40 40 104 104 40 42 68 68 42 42 81 81 42 42 85 85 42 42 32 32 42 42 34 34 42 37 42 42 40 40 42 42 42 42 42 42 44 44 42 42 46 46 42 42 48 48 42 42 104 104 42 44 68 68 44 44 81 81 44 44 85 85 44 44 32 32 44 44 34 34 44 37 44 44 40 40 44 44 42 42 44 44 44 44 44 44 46 46 44 44 48 48 44 44 104 104 44 46 68 68 46 46 81 81 46 46 85 85 46 46 32 32 46 46 34 34 46 37 46 46 40 40 46 46 42 42 46 46 44 44 46 46 46 46 46 46 48 48 46 46 104 104 46 48 68 68 48 48 81 81 48 48 85 85 48 48 32 32 48 48 34 34 48 37 48 48 40 40 48 48 42 42 48 48 44 44 48 48 46 46 48 48 48 48 48 48 104 104 48



 , ,60 48 48 60 60 56 56 60 48 48 48 48 56 48





 ,23 37, 


55 62, , 



 ,43 56, 



 ,41 40 40 41 41 54 54 41 41 56 56 41 40 40 40 40 40 54 54 40 40 56 56 40 54 40 40 54 54 54 54 54 54 56 56 54, 














 ,30 10 10 30 30 14 14 30 30 16 16 30 10 10 10 10 10 14 14 10 10 16 16 10 14 10 10 14 14 14 14 14 14 16 16 14, 



 ,53 38 38 53 53 5 5 53 53 56 56 53 38 38 38 38 5 38 38 56 56 38 5 38 5 5 5 5 5 56 56 5, 
 ,22 17, 






45 42 42 21 21 42 42 43 43 42 45 45 45 45 45 21 21 45 45 43 43 45 21 45 45 21 21 21 21 21 43 21, , 










 ,45 53 53 45 45 55 55 45 45 50 50 45 53 53 53 53 53 55 53 50 50 53 53 55 55 55 55 55 55 50 50 55, 









22 31, , 



 ,106 102 102 106 106 157 157 106 106 68 68 106 102 102 102 102 102 157 157 102 102 68 68 102 157 102 102 157 157 157 157 157 157 68 68 157,149 46 46 149 149 62 62 149 149 115 115 149 46 46 46 46 46 62 62 46 46 115 115 46 62 46 46 62 62 62 62 62 62 115 115 62
 , ,14 62 62 14 14 64 64 14 14 74 74 14 62 62 62 62 62 64 64 62 62 74 74 62 64 62 62 64 64 64 64 64 64 74 74 64
 ,81 63 57 63 63 93 93 63 81 81 81 81 81 57 57 81 81 93 93 81 57 81 81 57 57 57 57 57 57 93 93 57,53 48 48 53 53 36 36 53 53 29 29 53 48 48 48 48 48 36 36 48 48 29 29 48 36 48 48 36 36 36 36 36 36 29 29 36
 ,59 85 85 59 59 89 89 59 59 54 54 59 85 85 85 85 85 89 89 85 85 54 54 85 89 85 85 89 89 89 89 89 89 54 54 89,68 97 97 68
 ,38 25 25 27 27 25 38 38 38 38 38 27 27 38, 










 ,56 61 61 56 56 60 60 56 56 74 74 56 56 77 77 56 56 86 86 56 61 61 61 61 61 60 61 74 74 61 61 77 77 61 61 86 86 61 61 60 60 60 60 60 60 74 74 60 60 77 77 60 60 86 86 60 74 61 61 74 74 60 60 74 74 74 74 74 74 77 77 74 74 86 86 74 77 61 61 77 77 60 60 77 77 74 74 77 77 77 77 77 77 86 86 77, 



 ,33 12 33 36 12 12 12 12 12 36 36 12, 











 , ,2 39 39 2 1 2 39 39 39 39 1 39

 , ,27 7 27 17 17 27 7 7 7 7 7 17 17 7


 , ,28 24

 ,56 71 56 39 39 56 71 71 71 71 71 39 39 71,53 33 33 53 53 82 82 53 53 11 11 53 33 33 33 33 33 82 82 33 33 11 11 33 82 33 33 82 82 82 82 82 82 11 11 82
54 62 62 54,3 5 5 3,24 33













 ,21 16, 

 ,57 44 44 57, 







 ,35 24 24 35 35 60 60 35 35 41 41 35 24 24 24 24 24 60 60 24 24 41 41 24 60 24 24 60 60 60 60 60 60 41 41 60, 
 ,120 130 120 138 120 140 120 207 207 120 120 206 206 120 120 105 105 120 120 228 228 120 130 130 130 130 130 138 138 130 130 140 140 130 130 207 207 130 130 206 206 130 130 105 105 130 130 228 228 130 138 130 130 138 138 138 138 138 138 140 140 138 138 207 207 138 138 206 206 138 138 105 105 138 138 228 228 138 140 130 130 140 140 138 138 140 140 140 140 140 140 207 207 140 140 206 206 140 140 105 105 140 140 228 228 140 207 130 130 207 207 138 138 207 207 140 140 207 207 207 207 207 207 206 206 207 207 105 105 207 207 228 228 207 206 130 130 206 206 138 138 206 206 140 140 206 206 207 207 206 206 206 206 206 206 105 105 206 206 228 228 206 105 130 130 105 105 138 138 105 105 140 140 105 105 207 207 105 105 206 206 105 105 105 105 105 105 228 228 105, 


















44 51 44 73 73 44 51 51 51 51 51 73 73 51,22 28 28 22 22 78 78 22 28 28 28 28 28 78 78 28,13 17 17 13









 ,32 3 3 32 32 53 53 32 3 3 3 3 3 53 53 3, 
